date,category,description,amount,merchanttype,location,timeofday,paymentmethod,month,day_of_week
2025-06-20,Food,Restaurant lunch,394.74,Services,Bangalore,Night,UPI,6,Friday
2025-06-20,Healthcare,Doctor visit,2525.94,Subscription,Bangalore,Night,NetBanking,6,Friday
2025-06-20,Grocery,Daily essentials,505.41,Subscription,Bangalore,Afternoon,UPI,6,Friday
2025-06-20,Healthcare,Lab test,1872.37,Online,Ahmedabad,Morning,UPI,6,Friday
2025-06-20,Grocery,Snacks,719.92,Online,Bangalore,Evening,UPI,6,Friday
2025-06-20,Entertainment,Gaming,1090.79,Online,Mumbai,Morning,UPI,6,Friday
2025-06-20,Entertainment,Gaming,933.16,Offline,Pune,Evening,UPI,6,Friday
2025-06-20,Grocery,Snacks,620.9,Subscription,Bangalore,Night,NetBanking,6,Friday
2025-06-20,Healthcare,Dental checkup,2190.73,Subscription,Delhi,Morning,UPI,6,Friday
2025-06-20,Grocery,Snacks,696.28,Offline,Ahmedabad,Night,Card,6,Friday
2025-06-20,Travel,Hotel booking,4147.54,Subscription,Mumbai,Evening,UPI,6,Friday
2025-06-20,Entertainment,Gaming,841.77,Subscription,Mumbai,Evening,Card,6,Friday
2025-06-20,Healthcare,Dental checkup,1592.9,Subscription,Delhi,Morning,NetBanking,6,Friday
2025-06-20,Bills,Mobile recharge,1034.18,Services,Pune,Morning,UPI,6,Friday
2025-06-21,Grocery,Vegetables,1016.97,Services,Bangalore,Night,UPI,6,Saturday
2025-06-21,Bills,Mobile recharge,1173.04,Offline,Delhi,Night,UPI,6,Saturday
2025-06-21,Healthcare,Doctor visit,2087.25,Online,Ahmedabad,Evening,UPI,6,Saturday
2025-06-21,Entertainment,Gaming,862.97,Offline,Bangalore,Morning,UPI,6,Saturday
2025-06-21,Travel,Hotel booking,5114.71,Subscription,Mumbai,Night,UPI,6,Saturday
2025-06-21,Travel,Train ticket,2883.31,Subscription,Delhi,Afternoon,UPI,6,Saturday
2025-06-21,Shopping,Accessories,1744.39,Subscription,Delhi,Morning,UPI,6,Saturday
2025-06-21,Bills,Internet bill,1138.07,Subscription,Mumbai,Evening,UPI,6,Saturday
2025-06-21,Healthcare,Lab test,2118.6,Offline,Bangalore,Afternoon,Card,6,Saturday
2025-06-21,Healthcare,Doctor visit,2768.74,Online,Mumbai,Night,NetBanking,6,Saturday
2025-06-22,Shopping,Electronics,2244.36,Offline,Mumbai,Afternoon,UPI,6,Sunday
2025-06-22,Healthcare,Pharmacy,2011.8,Subscription,Ahmedabad,Morning,Cash,6,Sunday
2025-06-22,Travel,Cab ride,4293.43,Online,Delhi,Night,Card,6,Sunday
2025-06-22,Travel,Hotel booking,5181.64,Online,Mumbai,Afternoon,NetBanking,6,Sunday
2025-06-22,Shopping,Accessories,1441.75,Services,Bangalore,Afternoon,UPI,6,Sunday
2025-06-22,Grocery,Snacks,651.91,Subscription,Delhi,Evening,NetBanking,6,Sunday
2025-06-22,Food,Street food,340.3,Subscription,Pune,Evening,UPI,6,Sunday
2025-06-22,Bills,Mobile recharge,1266.92,Services,Ahmedabad,Morning,Card,6,Sunday
2025-06-22,Travel,Flight ticket,3246.21,Offline,Mumbai,Morning,NetBanking,6,Sunday
2025-06-22,Travel,Hotel booking,5166.92,Offline,Bangalore,Morning,NetBanking,6,Sunday
2025-06-22,Travel,Hotel booking,4403.43,Online,Bangalore,Afternoon,NetBanking,6,Sunday
2025-06-23,Grocery,Snacks,624.91,Subscription,Bangalore,Evening,Card,6,Monday
2025-06-23,Shopping,Electronics,1740.77,Offline,Mumbai,Evening,NetBanking,6,Monday
2025-06-23,Shopping,Electronics,1046.95,Online,Pune,Morning,UPI,6,Monday
2025-06-23,Bills,Mobile recharge,1362.43,Services,Pune,Morning,Card,6,Monday
2025-06-23,Entertainment,Movie tickets,940.89,Online,Bangalore,Night,UPI,6,Monday
2025-06-23,Travel,Train ticket,3993.81,Subscription,Ahmedabad,Night,NetBanking,6,Monday
2025-06-23,Healthcare,Pharmacy,2957.56,Online,Mumbai,Evening,NetBanking,6,Monday
2025-06-23,Travel,Train ticket,3614.3,Online,Delhi,Afternoon,UPI,6,Monday
2025-06-23,Healthcare,Pharmacy,2391.1,Subscription,Ahmedabad,Afternoon,Cash,6,Monday
2025-06-23,Healthcare,Doctor visit,3595.66,Offline,Delhi,Evening,UPI,6,Monday
2025-06-23,Healthcare,Doctor visit,2859.38,Services,Mumbai,Afternoon,UPI,6,Monday
2025-06-24,Bills,Internet bill,1180.19,Online,Delhi,Night,UPI,6,Tuesday
2025-06-24,Healthcare,Pharmacy,2827.67,Services,Pune,Night,UPI,6,Tuesday
2025-06-24,Bills,Electricity bill,1362.72,Subscription,Mumbai,Night,UPI,6,Tuesday
2025-06-24,Food,Street food,381.99,Services,Delhi,Morning,Card,6,Tuesday
2025-06-24,Shopping,Home decor,2205.62,Online,Mumbai,Evening,NetBanking,6,Tuesday
2025-06-24,Travel,Hotel booking,4770.12,Subscription,Bangalore,Afternoon,UPI,6,Tuesday
2025-06-24,Healthcare,Pharmacy,1633.02,Online,Pune,Morning,UPI,6,Tuesday
2025-06-24,Grocery,Snacks,591.32,Subscription,Mumbai,Night,NetBanking,6,Tuesday
2025-06-24,Shopping,Accessories,2198.76,Offline,Delhi,Morning,NetBanking,6,Tuesday
2025-06-24,Entertainment,Streaming subscription,894.45,Subscription,Pune,Afternoon,UPI,6,Tuesday
2025-06-24,Shopping,Electronics,1578.13,Online,Pune,Evening,NetBanking,6,Tuesday
2025-06-24,Bills,Mobile recharge,1370.73,Offline,Pune,Afternoon,UPI,6,Tuesday
2025-06-24,Travel,Hotel booking,3502.02,Subscription,Ahmedabad,Morning,UPI,6,Tuesday
2025-06-24,Grocery,Supermarket run,589.25,Subscription,Ahmedabad,Night,NetBanking,6,Tuesday
2025-06-24,Grocery,Daily essentials,641.1,Services,Mumbai,Morning,Card,6,Tuesday
2025-06-24,Healthcare,Lab test,4070.76,Offline,Delhi,Night,UPI,6,Tuesday
2025-06-25,Shopping,Home decor,1293.96,Subscription,Delhi,Morning,Card,6,Wednesday
2025-06-25,Shopping,Electronics,1601.33,Subscription,Bangalore,Afternoon,Cash,6,Wednesday
2025-06-25,Healthcare,Doctor visit,2510.74,Online,Ahmedabad,Morning,NetBanking,6,Wednesday
2025-06-25,Food,Restaurant lunch,342.66,Offline,Delhi,Morning,UPI,6,Wednesday
2025-06-25,Shopping,Clothing,2330.16,Services,Delhi,Afternoon,NetBanking,6,Wednesday
2025-06-26,Bills,Water bill,1799.01,Services,Bangalore,Night,UPI,6,Thursday
2025-06-26,Food,Restaurant lunch,387.44,Offline,Delhi,Night,NetBanking,6,Thursday
2025-06-26,Bills,Water bill,1097.65,Online,Bangalore,Morning,UPI,6,Thursday
2025-06-26,Grocery,Vegetables,529.96,Online,Pune,Evening,NetBanking,6,Thursday
2025-06-26,Travel,Train ticket,4978.72,Online,Bangalore,Evening,UPI,6,Thursday
2025-06-26,Shopping,Clothing,1680.96,Online,Bangalore,Night,UPI,6,Thursday
2025-06-26,Bills,Electricity bill,1181.76,Online,Pune,Morning,UPI,6,Thursday
2025-06-26,Entertainment,Movie tickets,514.77,Subscription,Ahmedabad,Afternoon,UPI,6,Thursday
2025-06-26,Healthcare,Dental checkup,2818.13,Online,Pune,Night,UPI,6,Thursday
2025-06-26,Food,Food delivery,361.92,Services,Pune,Evening,Cash,6,Thursday
2025-06-26,Bills,Electricity bill,1509.7,Offline,Ahmedabad,Evening,UPI,6,Thursday
2025-06-26,Bills,Water bill,1629.88,Online,Delhi,Afternoon,UPI,6,Thursday
2025-06-27,Bills,Mobile recharge,1181.42,Online,Ahmedabad,Night,NetBanking,6,Friday
2025-06-27,Food,Food delivery,304.19,Subscription,Ahmedabad,Evening,Card,6,Friday
2025-06-27,Grocery,Supermarket run,543.76,Subscription,Pune,Afternoon,Card,6,Friday
2025-06-27,Grocery,Snacks,480.77,Services,Ahmedabad,Night,UPI,6,Friday
2025-06-27,Travel,Hotel booking,4313.41,Online,Delhi,Evening,Cash,6,Friday
2025-06-27,Shopping,Electronics,1553.08,Subscription,Mumbai,Morning,NetBanking,6,Friday
2025-06-27,Entertainment,Streaming subscription,1122.87,Services,Mumbai,Afternoon,UPI,6,Friday
2025-06-27,Entertainment,Gaming,1263.97,Services,Bangalore,Night,NetBanking,6,Friday
2025-06-27,Healthcare,Lab test,2321.22,Online,Pune,Evening,UPI,6,Friday
2025-06-27,Healthcare,Lab test,2341.49,Online,Pune,Morning,UPI,6,Friday
2025-06-27,Grocery,Vegetables,437.8,Subscription,Ahmedabad,Evening,UPI,6,Friday
2025-06-27,Food,Cafe coffee,338.9,Services,Bangalore,Morning,UPI,6,Friday
2025-06-27,Healthcare,Doctor visit,2638.07,Offline,Delhi,Evening,Card,6,Friday
2025-06-27,Food,Cafe coffee,371.52,Subscription,Mumbai,Morning,Card,6,Friday
2025-06-27,Food,Food delivery,311.55,Offline,Pune,Night,UPI,6,Friday
2025-06-27,Shopping,Electronics,1757.74,Subscription,Mumbai,Night,UPI,6,Friday
2025-06-27,Food,Cafe coffee,415.18,Subscription,Mumbai,Night,Cash,6,Friday
2025-06-28,Food,Restaurant lunch,419.86,Offline,Bangalore,Morning,UPI,6,Saturday
2025-06-28,Healthcare,Dental checkup,2363.94,Subscription,Mumbai,Afternoon,NetBanking,6,Saturday
2025-06-28,Food,Street food,434.86,Online,Pune,Afternoon,UPI,6,Saturday
2025-06-28,Grocery,Snacks,854.77,Services,Bangalore,Morning,Card,6,Saturday
2025-06-28,Grocery,Snacks,736.44,Services,Pune,Morning,UPI,6,Saturday
2025-06-28,Healthcare,Dental checkup,2586.16,Offline,Bangalore,Morning,UPI,6,Saturday
2025-06-28,Food,Cafe coffee,479.27,Services,Mumbai,Night,UPI,6,Saturday
2025-06-28,Healthcare,Pharmacy,2874.55,Online,Mumbai,Evening,Card,6,Saturday
2025-06-28,Food,Cafe coffee,413.13,Online,Delhi,Night,NetBanking,6,Saturday
2025-06-29,Food,Restaurant lunch,434.98,Offline,Bangalore,Morning,UPI,6,Sunday
2025-06-29,Bills,Internet bill,1742.07,Services,Mumbai,Evening,Cash,6,Sunday
2025-06-29,Bills,Water bill,1598.13,Online,Mumbai,Afternoon,Card,6,Sunday
2025-06-29,Healthcare,Lab test,2355.52,Online,Ahmedabad,Morning,Card,6,Sunday
2025-06-29,Entertainment,Gaming,950.01,Offline,Ahmedabad,Evening,Cash,6,Sunday
2025-06-29,Shopping,Electronics,1634.97,Offline,Pune,Morning,Card,6,Sunday
2025-06-29,Travel,Cab ride,4394.62,Subscription,Mumbai,Evening,NetBanking,6,Sunday
2025-06-29,Bills,Mobile recharge,1375.35,Offline,Bangalore,Morning,UPI,6,Sunday
2025-06-29,Shopping,Home decor,1296.17,Services,Ahmedabad,Afternoon,NetBanking,6,Sunday
2025-06-29,Grocery,Daily essentials,722.28,Online,Delhi,Evening,NetBanking,6,Sunday
2025-06-30,Healthcare,Doctor visit,2887.06,Offline,Ahmedabad,Evening,NetBanking,6,Monday
2025-06-30,Food,Street food,363.12,Offline,Pune,Night,UPI,6,Monday
2025-06-30,Food,Cafe coffee,347.7,Offline,Ahmedabad,Evening,Card,6,Monday
2025-06-30,Travel,Cab ride,5079.33,Subscription,Delhi,Evening,UPI,6,Monday
2025-06-30,Entertainment,Streaming subscription,777.68,Subscription,Delhi,Afternoon,UPI,6,Monday
2025-06-30,Healthcare,Dental checkup,2588.18,Subscription,Delhi,Evening,UPI,6,Monday
2025-06-30,Shopping,Electronics,1649.37,Subscription,Delhi,Afternoon,UPI,6,Monday
2025-06-30,Bills,Electricity bill,1228.84,Online,Ahmedabad,Afternoon,NetBanking,6,Monday
2025-06-30,Healthcare,Doctor visit,2496.59,Online,Bangalore,Evening,UPI,6,Monday
2025-07-01,Travel,Cab ride,5402.81,Offline,Delhi,Night,UPI,7,Tuesday
2025-07-01,Food,Street food,318.16,Subscription,Delhi,Morning,UPI,7,Tuesday
2025-07-01,Healthcare,Lab test,2613.24,Offline,Delhi,Morning,UPI,7,Tuesday
2025-07-01,Grocery,Supermarket run,517.78,Subscription,Pune,Afternoon,UPI,7,Tuesday
2025-07-01,Healthcare,Lab test,2615.41,Services,Pune,Afternoon,UPI,7,Tuesday
2025-07-01,Grocery,Daily essentials,508.55,Offline,Pune,Morning,UPI,7,Tuesday
2025-07-01,Entertainment,Concert,984.95,Subscription,Bangalore,Night,UPI,7,Tuesday
2025-07-01,Travel,Flight ticket,7254.2,Services,Mumbai,Morning,UPI,7,Tuesday
2025-07-01,Healthcare,Lab test,4354.72,Services,Delhi,Evening,NetBanking,7,Tuesday
2025-07-01,Food,Restaurant lunch,372.65,Online,Bangalore,Afternoon,UPI,7,Tuesday
2025-07-01,Food,Food delivery,357.35,Offline,Ahmedabad,Morning,UPI,7,Tuesday
2025-07-01,Travel,Train ticket,4903.12,Services,Mumbai,Afternoon,Card,7,Tuesday
2025-07-01,Healthcare,Doctor visit,2605.59,Subscription,Delhi,Evening,UPI,7,Tuesday
